,app_id,title,location,location_2d
0,13500,Prince of Persia: Warrior Within™,"[ 0.00724984 -0.05088659  0.17821659  0.31532532 -0.0386677  -0.16847125
 -0.14907587 -0.01232619  0.12018453 -0.02468046  0.12471187  0.02538552
 -0.11538073  0.06253587 -0.16509147  0.06507024  0.02231794  0.18669279
  0.08050634  0.0652983   0.17895883 -0.12882088  0.14265253 -0.07183093
 -0.078386   -0.02374981 -0.10229005 -0.10896883  0.05106441 -0.05104606
  0.12720728 -0.09060731  0.12064032 -0.12956531 -0.26551574 -0.11256254
 -0.06492341 -0.05087226  0.03394121  0.06758194  0.06365606 -0.14305189
  0.04525447  0.03344062  0.14146456 -0.12357383  0.09418482  0.18231606
 -0.07889584  0.19127704  0.04458506 -0.09562495 -0.11920605 -0.017324
 -0.08062849 -0.10742215 -0.01854783 -0.03721343 -0.02084932  0.08345757
 -0.05105088  0.02364777  0.04796639  0.14217694]",[-27.830263 -50.389065]
1,113020,Monaco: What's Yours Is Mine,"[ 7.4658588e-02  4.3468740e-02  1.3197079e-01  3.0501133e-01
  1.5611757e-01  2.2195391e-02 -1.4074053e-01 -5.8445223e-02
  8.4007688e-02 -7.3981181e-02  1.3839956e-01  1.3997272e-01
  3.4417436e-02  2.7464258e-03 -6.9732048e-02 -1.2178222e-01
  7.2451301e-02  4.7515735e-02  8.5375033e-02  9.2612691e-02
  4.4385988e-02 -6.7327499e-02  3.7259907e-02  1.4794597e-01
 -3.3825520e-01  5.2043095e-02 -1.6938770e-02 -1.4179341e-01
  1.2448807e-01 -1.6528094e-01  1.2390078e-01 -1.9458957e-05
  5.9663147e-02 -4.0946811e-02 -7.7924132e-03 -5.6712389e-02
 -3.3722535e-02 -1.5058167e-01  4.6504058e-02 -4.8492391e-02
 -6.1041318e-02 -8.5024983e-02 -5.0308175e-02 -9.9637203e-02
  1.4895193e-01 -9.6431911e-02  1.0245271e-01  1.4065063e-01
  1.9129950e-01  3.5655558e-02  1.4281373e-01 -3.8071640e-02
 -1.4838758e-01  4.5192860e-02 -1.8477017e-01  4.5039348e-02
  6.5384105e-02  8.3513990e-02 -4.6959322e-02  1.5801835e-01
  3.7180919e-02 -2.7101867e-02 -4.4165230e-03  7.1668141e-02]",[-23.66106 -32.13113]
2,226560,Escape Dead Island,"[ 0.00190067 -0.00792071 -0.0233331   0.1286763   0.07389382  0.05653998
  0.00112327 -0.09326781 -0.00933597  0.02569279  0.0673245   0.10385495
 -0.04072171  0.01134276  0.02528585 -0.00876614  0.12537923 -0.03275444
  0.14105938  0.0887606   0.01432485 -0.09571783  0.04557426 -0.01010443
 -0.16606514  0.10757236  0.07056636 -0.09473089  0.0106166  -0.06782205
  0.09325752 -0.0120847   0.033613   -0.04967364  0.04975814  0.00749991
 -0.01466851 -0.03482885  0.02251063 -0.07769816 -0.07081943 -0.07416762
 -0.08557498 -0.00795859  0.05359885 -0.10360062  0.05417188  0.03936255
  0.07972982  0.11784839  0.01924548 -0.07526062 -0.13262266  0.02650728
 -0.07621258  0.07921571  0.08448566  0.00326047 -0.07785814  0.09156058
 -0.03460488  0.0658543  -0.00846603 -0.08691737]",[-21.555323 -15.31565 ]
3,250180,METAL SLUG 3,"[ 0.08592116  0.03830793  0.06623445  0.22989799  0.13045289 -0.03869702
 -0.12922451  0.05934039  0.13543779 -0.02098052  0.25518566  0.11409055
  0.02842727  0.01483098 -0.10197159  0.01015089  0.12727784  0.01168743
  0.02727045  0.08131699  0.04229365 -0.07209611  0.0834147   0.08936663
 -0.20416883  0.02487813  0.03246973 -0.11243404  0.04709085 -0.19036597
  0.07290029 -0.04377175  0.14339826  0.08886845 -0.01997567 -0.02356367
  0.05212248  0.03317278 -0.02822464  0.05414392  0.11041688 -0.11887235
 -0.05820585 -0.08356276  0.0014586   0.02113001  0.18210702  0.0347343
  0.17312871  0.04656549  0.05120432  0.01564426 -0.14636931 -0.02185516
 -0.268369    0.05261893  0.03071241  0.02838489  0.04730877  0.12599976
  0.12990785 -0.0821142  -0.02906163  0.12409536]",[-21.135366 -32.897854]
4,253980,Enclave,"[-0.01723691  0.05923255  0.05802105  0.0767808   0.14010356  0.08858851
 -0.05958162 -0.12691247 -0.00305174 -0.0638385   0.06170665  0.06026287
 -0.00525187  0.00874828  0.07384592  0.06759623  0.05277076 -0.10218992
  0.17471826  0.11755265 -0.02425027 -0.01203549  0.0020129  -0.030859
 -0.21134554  0.05879757  0.05540141 -0.09659415 -0.06185668 -0.09423011
  0.13609798  0.0339832  -0.00837528 -0.03197355 -0.00999966 -0.016854
 -0.0352924  -0.08586031  0.01827233 -0.09137633 -0.07191632 -0.0703258
 -0.07858029 -0.02254827  0.0274164  -0.07889005  0.02373071  0.07967052
  0.01050385  0.02663912  0.07644439 -0.02014965 -0.15046826  0.06052573
 -0.06533777  0.06887273  0.0829666   0.01144308 -0.1247838   0.11336606
  0.00756421  0.04230357  0.06431013 -0.06237236]",[-25.930891  -7.152575]
5,282900,Hyperdimension Neptunia Re;Birth1,"[ 0.02957447 -0.13472429  0.06897544 -0.0600244  -0.10681171 -0.07167552
  0.06256729  0.02528528  0.05157038  0.13605669 -0.04724657  0.06899028
 -0.0273786  -0.00611064 -0.01913232 -0.02262751  0.042945   -0.0613483
 -0.02968093 -0.13708699 -0.00519944 -0.0051344  -0.03318951 -0.00331936
  0.00292383  0.09381343 -0.04853589  0.10555914 -0.05697231 -0.15156686
  0.0616956  -0.0707951   0.00330346  0.19323243  0.03857671 -0.04903502
 -0.10703305 -0.04887389  0.06512155  0.08170822  0.0086787  -0.13500932
 -0.14926653 -0.05537383 -0.08113531 -0.07325427 -0.13931973 -0.0112708
  0.13812242 -0.06200934 -0.04031128  0.08041342  0.10493898  0.08113836
 -0.0080922   0.03984305  0.0067184   0.09431915  0.01626038 -0.05267651
 -0.08501181  0.01627161 -0.13715006  0.1126154 ]",[29.485485 15.699653]
6,15270,Cold Fear™,"[-0.0052784  -0.00835443  0.03724789  0.24430771 -0.06287996 -0.07844866
 -0.16659072  0.01857545  0.1116444   0.00595948  0.03568584  0.05961902
 -0.07113756  0.01951424 -0.24334323  0.12338233  0.0752126   0.11280351
  0.03103803  0.08279277  0.12375981 -0.12565798  0.10841751  0.03090158
 -0.01891658  0.02455229  0.0083569  -0.10355399  0.03782662 -0.02216472
  0.02196504 -0.12137196  0.15303305 -0.04190169 -0.18342437 -0.09096118
 -0.06962771  0.05175484 -0.05229298  0.19035068  0.09612691 -0.15115242
 -0.01130815  0.00476307  0.05526764 -0.0705603   0.03310166  0.04641261
  0.02687449  0.08869945 -0.02706811 -0.06724453 -0.20065606  0.03719537
 -0.0980025  -0.11829846 -0.07564906 -0.03105711  0.01308768  0.02157837
 -0.02336813 -0.01024965  0.00824169  0.05709477]",[-24.318485 -53.04405 ]
7,21130,LEGO® Harry Potter: Years 1-4,"[ 0.05138214  0.03870057  0.1703967   0.27121705  0.07377898 -0.07565729
 -0.04633719 -0.12531872  0.09098043 -0.02838407  0.07269205  0.07390378
 -0.08640435  0.1079063  -0.09555443  0.00808209 -0.0564671   0.11845271
  0.04269852  0.05977466  0.15483035 -0.089624    0.11816017 -0.02598999
 -0.0846637   0.12000552 -0.00899323 -0.01819325  0.13289519 -0.03365812
  0.06555893  0.00070066  0.06870414 -0.09914781 -0.1711052  -0.13427623
 -0.00633301  0.00736705  0.10965452  0.02469062 -0.00690539 -0.09056158
  0.03821765 -0.11397035  0.3246258  -0.10604186  0.02385783  0.13846208
 -0.05992708  0.06428542  0.08367054 -0.04499121 -0.14074098 -0.00087927
 -0.01128932 -0.01710277  0.09768187  0.00168753 -0.08586527  0.11455707
  0.0697701   0.00866449  0.03042152 -0.03823129]",[-32.195248 -42.899303]
8,22130,Hearts of Iron 2 Complete,"[ 0.12095204  0.01834821  0.10091544  0.17773707  0.05662857 -0.00534471
 -0.11613204 -0.02198095  0.06110085  0.09326003  0.04532273  0.09460519
 -0.01301319  0.1084951  -0.28617454  0.01193439  0.04941945  0.08343765
  0.06255934  0.02117067 -0.00379943 -0.13898674  0.09217791 -0.01608017
 -0.12331099  0.01589759  0.09867769 -0.12529904  0.04767093 -0.06447965
  0.06611074 -0.06311239  0.04063226 -0.00098344 -0.11071639 -0.02802124
 -0.00943158 -0.03244537  0.08933377 -0.00573776  0.09040034 -0.10473586
 -0.05987471 -0.01279298 -0.03140745 -0.08299794  0.07669341  0.03374861
  0.04783958 -0.0233008  -0.02559784 -0.08453599 -0.25942612 -0.05441668
 -0.12254413  0.00518911  0.01409245  0.05204799 -0.0653816   0.01803216
 -0.01535872  0.03532147 -0.05006278  0.08140122]",[-23.577929 -45.49046 ]
9,29180,Osmos,"[ 0.0148371   0.00099387  0.22165203  0.20026344  0.19296391  0.02660028
 -0.00877227  0.04967239  0.11915934 -0.22022365  0.13381454  0.09166272
  0.100265    0.02533414 -0.12321503  0.01304386  0.07737584 -0.05764369
  0.05562231  0.03073624  0.00812815  0.03779612  0.00427641  0.11626666
 -0.37502953  0.01714044  0.05508525 -0.10281429 -0.04484614 -0.173837
  0.11557545 -0.01779911  0.12619533 -0.03573007 -0.14740193 -0.08516958
 -0.02700787 -0.16900076  0.07606622  0.02077086 -0.00767608  0.00616374
 -0.12388846 -0.0692525   0.02857893 -0.18008536  0.24877079  0.09297878
  0.11357483 -0.04833623  0.0897442   0.08985449 -0.2617921  -0.18867406
 -0.06587376  0.09837671 -0.06426134  0.05072298 -0.03399261  0.00307901
 -0.05937042  0.3342761   0.05074844  0.22649157]",[-25.430378 -33.014954]
